"mom_id","date","crude_petroluem_natural_gas","Petrol","natural_gas","coking_coal","non_coking_coal","Bitumen","crude_petroluem","LPG","Kerosene","electricity","Lignite","coal_total","petroluem_coke","WPI"
"2021-Oct","2021-10-01",253.09,189.03,56.18,92.78,166.5,23.68,197.26,67.38,36.81,367.12,13.8,74.19,11.14,77.51
"2021-Sep","2021-09-01",213.71,173.62,41.61,92.78,166.5,22.14,172.26,66.63,34.91,367.12,11.48,73.22,10.11,75.79
"2022-Apr","2022-04-01",324.61,237.38,75.05,92.78,166.5,31.95,250.48,86.88,67.44,384.43,17.68,77.23,13.18,83.39
"2022-Aug","2022-08-01",330.57,248.11,83.05,92.78,166.5,26.72,248.61,76.38,75.07,429.41,24.49,77.62,14.02,84.13
"2022-Dec","2022-12-01",324.4,234.96,111.63,92.78,166.5,31.39,215.62,67.73,69.9,496.11,24.47,78.78,13.16,82.31
"2022-Feb","2022-02-01",266.29,210.18,46.55,92.78,166.5,27.9,219.53,73.36,46.35,414.63,17.68,76.21,10.34,79.74
"2022-Jan","2022-01-01",260.33,204.14,57.0,92.78,166.5,25.48,203.72,76.26,40.46,425.64,17.68,75.61,11.0,78.99
"2022-Jul","2022-07-01",356.76,272.44,81.93,92.78,166.5,28.59,275.65,78.53,86.98,420.92,17.68,76.39,14.98,84.35
"2022-Jun","2022-06-01",375.49,281.5,81.2,92.78,166.5,29.72,295.04,85.14,74.09,420.6,17.68,76.67,15.57,85.09
"2022-Mar","2022-03-01",322.7,226.2,46.59,92.78,166.5,31.28,275.31,77.19,53.61,384.43,17.68,77.06,11.26,81.57
"2022-May","2022-05-01",352.29,262.16,75.09,92.78,166.5,31.61,277.69,89.84,69.8,397.64,17.68,77.14,15.7,84.92
"2022-Nov","2022-11-01",364.42,239.5,112.75,92.78,166.5,30.28,254.05,66.74,70.43,496.73,24.47,78.51,13.11,83.36
"2022-Oct","2022-10-01",363.36,236.32,107.89,92.78,166.5,27.59,257.8,70.63,67.95,481.01,24.47,77.83,12.43,83.84
"2022-Sep","2022-09-01",309.29,243.73,82.92,92.78,166.5,27.97,227.7,72.26,71.53,442.31,24.47,77.93,12.5,83.38
"2023-Apr","2023-04-01",329.94,241.01,105.4,92.78,166.5,29.92,226.85,77.77,56.53,461.82,26.88,79.02,11.59,82.74
"2023-Aug","2023-08-01",324.19,242.82,100.24,92.78,174.84,27.08,226.0,58.04,54.54,425.01,23.26,79.49,8.41,84.07
"2023-Feb","2023-02-01",304.82,242.22,110.73,92.78,166.5,27.66,197.09,68.14,64.58,479.43,26.97,78.48,12.41,82.56
"2023-Jan","2023-01-01",322.27,235.87,111.29,92.78,166.5,28.95,213.92,69.94,62.6,492.96,24.47,78.18,12.57,82.45
"2023-Jul","2023-07-01",308.01,235.72,97.53,92.78,174.84,25.21,212.73,62.28,49.82,422.18,23.26,79.02,8.38,83.91
"2023-Jun","2023-06-01",295.03,235.57,98.69,92.78,174.84,27.66,198.62,66.16,49.66,425.32,23.26,79.64,9.14,81.88
"2023-Mar","2023-03-01",318.87,240.86,111.11,92.78,166.5,28.21,210.52,79.75,63.34,466.85,25.99,78.37,12.42,82.59
"2023-May","2023-05-01",304.18,237.23,104.19,92.78,166.5,30.3,202.7,67.96,54.34,435.39,24.29,78.47,10.47,82.1
"2023-Oct","2023-10-01",355.48,244.48,113.13,92.78,174.84,28.92,245.04,67.79,68.61,448.29,21.46,79.5,9.74,83.72
"2023-Sep","2023-09-01",357.61,246.75,107.46,92.78,174.84,28.3,252.35,59.9,64.45,430.99,21.46,79.34,9.21,83.4
